"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PLAT1",1.50560094650611e-12,0.752912229515808,0.921,0.819,3.1542339829303e-08,"15","PLAT"
"SYNJ22",2.94870132383576e-12,0.706881785822159,0.635,0.283,6.17752927343593e-08,"15","SYNJ2"
"RCAN21",6.73298504148883e-12,0.688348375609895,0.683,0.33,1.41056036619191e-07,"15","RCAN2"
"RPS6KA22",7.26202797596004e-12,0.616674683581609,0.762,0.376,1.52139486096363e-07,"15","RPS6KA2"
"CTSC2",2.3798968996794e-11,0.711765040041064,0.905,0.695,4.98588400482834e-07,"15","CTSC"
"CRB22",2.5693510798302e-11,0.626140261264972,0.81,0.428,5.38279051224426e-07,"15","CRB2"
"HMGA12",3.81052936199189e-11,0.61057433012545,0.889,0.733,7.98305901337301e-07,"15","HMGA1"
"RASSF43",8.93420878482718e-11,0.622272460517872,0.968,0.796,1.87171674042129e-06,"15","RASSF4"
"AZGP14",1.17362208305885e-10,0.619811641353171,0.857,0.616,2.45873826400829e-06,"15","AZGP1"
"MT1G4",5.05565752523366e-10,0.600572665749303,0.794,0.428,1.05916025153645e-05,"15","MT1G"
